output_text,input_text
dirty white shirt,dirty white shirts
high metal fence,high metal fences
tiny wooden stick,tiny wooden sticks
smelly old sock,smelly old socks
shiny silver spoon,shiny silver spoons
tiny golden key,tiny golden keys
warm woolen scarf,warm woolen scarves
big black dog,big black dogs
huge fluffy pillow,huge fluffy pillows
small wooden table,small wooden tables
bright red shirt,bright red shirts
heavy metal spoon,heavy metal spoons
soft blue sweater,soft blue sweaters
spicy green chili,spicy green chilies
tall wooden chair,tall wooden chairs
thin golden thread,thin golden threads
big pink cake,big pink cakes
sharp pointed pencil,sharp pointed pencils
small red flower,small red flowers
clean white towel,clean white towels
long wooden plank,long wooden planks
rich dark chocolate,rich dark chocolates
thick woolen scarf,thick woolen scarves
cute little puppy,cute little puppies
fresh green leaf,fresh green leaves
bright orange sunset,bright orange sunsets
old leather book,old leather books
small glass jar,small glass jars
sweet juicy orange,sweet juicy oranges
heavy brown bag,heavy brown bags
huge glass window,huge glass windows
large gold coin,large gold coins
fresh red berry,fresh red berries
small shiny rock,small shiny rocks
beautiful white butterfly,beautiful white butterflies
soft pink pillow,soft pink pillows
large fluffy cloud,large fluffy clouds
quiet wooden room,quiet wooden rooms
hot spicy curry,hot spicy curries
big fluffy cloud,big fluffy clouds
yellow striped shirt,yellow striped shirts
child's woolen glove,children's woolen gloves
oxen-drawn cart,oxen-drawn carts
knife-sharpened stick,knife-sharpened sticks
mouse-infested house,mice-infested houses
single leaf page,single leaves pages
small loaf of bread,small loaves of bread
tooth-marked pencil,teeth-marked pencils
friendly footstep,friendly footsteps
wise old man,wise old men
blue louse,blue lice
lone goose,lone geese
half-empty glass,half-empty glasses
strong calf muscle,strong calf muscles
ancient sheaf of papers,ancient sheaves of papers
tiny cacti garden,tiny cacti gardens
pot of gold at the end of the rainbow,pots of gold at the end of the rainbow
pair of dice,pairs of dice
fleet of aircraft,fleets of aircraft
collection of memorabilia,collections of memorabilia
lone hero,lone heroes
bright red tomato,bright red tomatoes
worn-out echo,worn-out echoes
beautiful serenade,beautiful serenades
ancient manuscript,ancient manuscripts
gray wolf pack,gray wolf packs
leafy green vegetable,leafy green vegetables
delicate piano note,delicate piano notes
strawberry thief,strawberry thieves
crackling fire log,crackling fire logs
wise old elf,wise old elves
crumbling fortress wall,crumbling fortress walls
shadowy alley cat,shadowy alley cats
magical fairy tale,magical fairy tales
frost-covered windowpane,frost-covered windowpanes
antique gold watch,antique gold watches
tiny speck of dust,tiny specks of dust
delicious sushi roll,delicious sushi rolls
flickering candle flame,flickering candle flames
slice of cherry pie,slices of cherry pie
pack of wild wolves,packs of wild wolves
glass of iced tea,glasses of iced tea
cup of hot cocoa,cups of hot cocoa
box of old letters,boxes of old letters
piece of antique furniture,pieces of antique furniture
roll of parchment paper,rolls of parchment paper
bowl of fresh fruit,bowls of fresh fruit
bottle of vintage wine,bottles of vintage wine
bundle of dried herbs,bundles of dried herbs
pair of wool socks,pairs of wool socks
tray of assorted pastries,trays of assorted pastries
spoonful of sugar,spoonfuls of sugar
crate of ripe mangoes,crates of ripe mangoes
pile of rusty tools,piles of rusty tools
stack of dusty books,stacks of dusty books
basket of laundry,baskets of laundry
string of holiday lights,strings of holiday lights
plate of spaghetti with meatballs,plates of spaghetti with meatballs
burger with cheese,burgers with cheese
tank top,tank tops
baker's dozen,bakers' dozens
raincoat,raincoats
toothbrush,toothbrushes
sunflower,sunflowers
bookcase,bookcases
notebook,notebooks
cupcake,cupcakes
football game,football games
backpack,backpacks
firefighter,firefighters
birthday card,birthday cards
police officer,police officers
handshake,handshakes
laptop,laptops
waterfall,waterfalls
basketball court,basketball courts
flashlight,flashlights
ice cream cone,ice cream cones
mountaintop,mountaintops
paperclip,paperclips
masterpiece,masterpieces
rainbow,rainbows
walking stick,walking sticks
homework assignment,homework assignments
teardrop,teardrops
doorknob,doorknobs
sunbeam,sunbeams
playground,playgrounds
nightstand,nightstands
earring,earrings
passport,passports
newspaper article,newspaper articles
workbench,workbenches
car door,car doors
mailbox,mailboxes
shoelace,shoelaces
lightbulb,lightbulbs
flowerpot,flowerpots
friendship bracelet,friendship bracelets
snowflake,snowflakes
firewood log,firewood logs
beehive,beehives
cherry blossom,cherry blossoms
silk scarf,silk scarves
castle tower,castle towers
glacier,glaciers
mountain range,mountain ranges
pebble beach,pebble beaches
volcano,volcanoes
fruit salad,fruit salads
butterfly wing,butterfly wings
raindrop,raindrops
skateboard ramp,skateboard ramps
treetop,treetops
shoebox,shoeboxes
watchtower,watchtowers
waterfall mist,waterfall mists
ladder rung,ladder rungs
traffic cone,traffic cones
flower bouquet,flower bouquets
cobblestone path,cobblestone paths
hedge maze,hedge mazes
sunset glow,sunset glows
moonbeam,moonbeams
ocean wave,ocean waves
beach umbrella,beach umbrellas
campfire story,campfire stories
feather quill,feather quills
forest trail,forest trails
windowpane,windowpanes
jigsaw puzzle,jigsaw puzzles
vintage postcard,vintage postcards
harbor dock,harbor docks
stone archway,stone archways
candle holder,candle holders
riverbank,riverbanks
sunflower seed,sunflower seeds
windmill blade,windmill blades
piano key,piano keys
photo album,photo albums
art gallery,art galleries
streetlight,streetlights
mountain peak,mountain peaks
iceberg,icebergs
desert cactus,desert cacti
storm cloud,storm clouds
midnight snack,midnight snacks
forest clearing,forest clearings
pinecone,pinecones
treasure chest,treasure chests
stone gargoyle,stone gargoyles
oak tree,oak trees
autumn leaf,autumn leaves
brick wall,brick walls
rope bridge,rope bridges
golden crown,golden crowns
silk ribbon,silk ribbons
frozen pond,frozen ponds
scenic overlook,scenic overlooks
wooden fence,wooden fences
garden hose,garden hoses
jellybean jar,jellybean jars
toy soldier,toy soldiers
library book,library books
vintage clock,vintage clocks
coffee mug,coffee mugs
porcelain doll,porcelain dolls
rollercoaster ride,rollercoaster rides
paper lantern,paper lanterns
city skyline,city skylines
crystal chandelier,crystal chandeliers
seashell,seashells
candle flame,candle flames
forest canopy,forest canopies
stone pathway,stone pathways
bird's nest,bird's nests
mountain cabin,mountain cabins
leafy vine,leafy vines
cloud formation,cloud formations
desert dune,desert dunes
flower petal,flower petals
street musician,street musicians
rainforest,rainforests
lakefront,lakefronts
crystal clear lake,crystal clear lakes
sandcastle,sandcastles
twinkling star,twinkling stars
ancient ruin,ancient ruins
garden gnome,garden gnomes
stormy sea,stormy seas
cave entrance,cave entrances
chocolate bar,chocolate bars
fishing boat,fishing boats
picnic basket,picnic baskets
wildflower meadow,wildflower meadows
eagle's nest,eagle's nests
mountain stream,mountain streams
sunflower field,sunflower fields
hot air balloon,hot air balloons
rocking chair,rocking chairs
apple orchard,apple orchards
lighthouse beacon,lighthouse beacons
harbor sailboat,harbor sailboats
vintage bicycle,vintage bicycles
rusty anchor,rusty anchors
forest waterfall,forest waterfalls
city plaza,city plazas
wooden rocking horse,wooden rocking horses
parrot's feather,parrot's feathers
beachcomber,beachcombers
sunset silhouette,sunset silhouettes
wind chime,wind chimes
garden bench,garden benches
harvest moon,harvest moons
stone fireplace,stone fireplaces
fisherman's net,fishermen's nets
harbor lighthouse,harbor lighthouses
cobblestone street,cobblestone streets
seagull's cry,seagulls' cries
forest path,forest paths
rustic cabin,rustic cabins
vineyard grape,vineyard grapes
misty valley,misty valleys
stone pillar,stone pillars
lantern light,lantern lights
cozy fireplace,cozy fireplaces
mountain ridge,mountain ridges
garden path,garden paths
driftwood,driftwood
sea breeze,sea breezes
orchard tree,orchard trees
wildflower bloom,wildflower blooms
butterfly garden,butterfly gardens
stormy sky,stormy skies
vintage record player,vintage record players
forest glade,forest glades
stone castle,stone castles
antique vase,antique vases
treehouse,treehouses
hidden treasure,hidden treasures
cottage window,cottage windows
seaside cottage,seaside cottages
rusty gate,rusty gates
lone wolf,lone wolves
crystal cave,crystal caves
garden pond,garden ponds
mountain trail,mountain trails
storm shelter,storm shelters
cherry tree,cherry trees
desert oasis,desert oases
village market,village markets
cobblestone bridge,cobblestone bridges
vine-covered wall,vine-covered walls
harbor view,harbor views
forest cabin,forest cabins
flower garden,flower gardens
wooden door,wooden doors
sunrise glow,sunrise glows
moss-covered stone,moss-covered stones
water fountain,water fountains
beach hut,beach huts
stone bench,stone benches
lake view,lake views
birdsong,birdsongs
forest stream,forest streams
mountain lake,mountain lakes
desert wind,desert winds
harbor crane,harbor cranes
fishing pier,fishing piers
sunrise view,sunrise views
garden statue,garden statues
riverbend,riverbends
mountain lodge,mountain lodges
crystal ball,crystal balls
storm cloud,storm clouds
beach wave,beach waves
forest grove,forest groves
mountain pass,mountain passes
vine-covered trellis,vine-covered trellises
pebble,pebbles
clay pot,clay pots
glass marble,glass marbles
steel wrench,steel wrenches
ceramic mug,ceramic mugs
wooden spoon,wooden spoons
plastic bottle,plastic bottles
iron nail,iron nails
golden ring,golden rings
paperclip,paperclips
silver coin,silver coins
brass key,brass keys
rubber band,rubber bands
stone arrowhead,stone arrowheads
leather wallet,leather wallets
metal bolt,metal bolts
cotton handkerchief,cotton handkerchiefs
bronze statue,bronze statues
linen napkin,linen napkins
steel hammer,steel hammers
porcelain plate,porcelain plates
copper wire,copper wires
wool scarf,wool scarves
bamboo chopstick,bamboo chopsticks
crystal vase,crystal vases
ceramic tile,ceramic tiles
aluminum can,aluminum cans
plastic straw,plastic straws
wooden box,wooden boxes
glass bottle,glass bottles
steel chain,steel chains
stone brick,stone bricks
iron hook,iron hooks
cork coaster,cork coasters
clay figurine,clay figurines
copper kettle,copper kettles
linen sheet,linen sheets
bronze medal,bronze medals
rubber glove,rubber gloves
ceramic bowl,ceramic bowls
metallic pin,metallic pins
wooden crate,wooden crates
glass jar,glass jars
stone slab,stone slabs
iron rod,iron rods
cotton towel,cotton towels
plastic lid,plastic lids
steel blade,steel blades
brass knob,brass knobs
porcelain cup,porcelain cups
leather strap,leather straps
bronze coin,bronze coins
ceramic jug,ceramic jugs
wool blanket,wool blankets
bamboo basket,bamboo baskets
crystal ornament,crystal ornaments
aluminum foil,aluminum foils
plastic container,plastic containers
stone statue,stone statues
iron gate,iron gates
wooden plank,wooden planks
glass shard,glass shards
cork stopper,cork stoppers
clay bowl,clay bowls
linen curtain,linen curtains
rubber hose,rubber hoses
steel screw,steel screws
bronze trophy,bronze trophies
porcelain figurine,porcelain figurines
metal latch,metal latches
wooden bench,wooden benches
plastic bucket,plastic buckets
stone mortar,stone mortars
iron skillet,iron skillets
ceramic pitcher,ceramic pitchers
glass tile,glass tiles
woolen hat,woolen hats
leather belt,leather belts
copper pot,copper pots
bamboo mat,bamboo mats
linen pillowcase,linen pillowcases
crystal goblet,crystal goblets
steel rod,steel rods
rubber tire,rubber tires
bronze bell,bronze bells
ceramic vase,ceramic vases
plastic tray,plastic trays
wooden ladder,wooden ladders
iron chain,iron chains
stone pendant,stone pendants
glass lens,glass lenses
cork board,cork boards
metallic ring,metallic rings
porcelain sink,porcelain sinks
leather glove,leather gloves
woolen sock,woolen socks
bamboo flute,bamboo flutes
copper pipe,copper pipes
linen tablecloth,linen tablecloths
bronze shield,bronze shields
ceramic tile,ceramic tiles
rubber duck,rubber ducks
wooden toy,wooden toys
glass bead,glass beads
steel spring,steel springs
stone axe,stone axes
iron anvil,iron anvils
plastic comb,plastic combs
cork bottle,cork bottles
clay vase,clay vases
porcelain lamp,porcelain lamps
leather journal,leather journals
bronze helmet,bronze helmets
crystal necklace,crystal necklaces
aluminum sheet,aluminum sheets
bamboo fence,bamboo fences
woolen sweater,woolen sweaters
copper bowl,copper bowls
linen scarf,linen scarves
ceramic mug,ceramic mugs
piece of eight,pieces of eight
handful of sand,handfuls of sand
grain of rice,grains of rice
loaf of bread,loaves of bread
deck of cards,decks of cards
drop of water,drops of water
slice of pie,slices of pie
pair of scissors,pairs of scissors
spoonful of sugar,spoonfuls of sugar
flock of sheep,flocks of sheep
school of fish,schools of fish
herd of cattle,herds of cattle
pack of wolves,packs of wolves
bundle of sticks,bundles of sticks
set of keys,sets of keys
cup of tea,cups of tea
piece of cake,pieces of cake
slice of life,slices of life
bunch of grapes,bunches of grapes
pair of gloves,pairs of gloves
head of lettuce,heads of lettuce
pint of milk,pints of milk
bar of soap,bars of soap
drop of blood,drops of blood
batch of cookies,batches of cookies
stack of papers,stacks of papers
pile of leaves,piles of leaves
string of pearls,strings of pearls
jar of honey,jars of honey
piece of string,pieces of string
quart of oil,quarts of oil
tube of toothpaste,tubes of toothpaste
slice of cheese,slices of cheese
bag of flour,bags of flour
dozen eggs,dozens of eggs
pair of shoes,pairs of shoes
bottle of wine,bottles of wine
drop of ink,drops of ink
handful of coins,handfuls of coins
bunch of flowers,bunches of flowers
gallon of water,gallons of water
carton of eggs,cartons of eggs
box of chocolates,boxes of chocolates
bundle of joy,bundles of joy
roll of tape,rolls of tape
pinch of salt,pinches of salt
slice of ham,slices of ham
cup of coffee,cups of coffee
sheet of paper,sheets of paper
blade of grass,blades of grass
block of ice,blocks of ice
piece of advice,pieces of advice
round of applause,rounds of applause
pearl of wisdom,pearls of wisdom
crumb of bread,crumbs of bread
chunk of wood,chunks of wood
patch of grass,patches of grass
flicker of light,flickers of light
ray of sunshine,rays of sunshine
whiff of smoke,whiffs of smoke
drop of dew,drops of dew
dash of pepper,dashes of pepper
slice of toast,slices of toast
pack of cards,packs of cards
bundle of nerves,bundles of nerves
pinch of herbs,pinches of herbs
piece of fabric,pieces of fabric
spoonful of soup,spoonfuls of soup
drop of rain,drops of rain
bag of chips,bags of chips
string of lights,strings of lights
bar of chocolate,bars of chocolate
roll of film,rolls of film
handful of feathers,handfuls of feathers
batch of muffins,batches of muffins
slice of lemon,slices of lemon
cup of soup,cups of soup
dozen roses,dozens of roses
bunch of bananas,bunches of bananas
stack of books,stacks of books
quart of milk,quarts of milk
pair of pants,pairs of pants
piece of luggage,pieces of luggage
bar of gold,bars of gold
pint of beer,pints of beer
bottle of water,bottles of water
roll of fabric,rolls of fabric
dash of vanilla,dashes of vanilla
blade of a knife,blades of a knife
pile of stones,piles of stones
string of beads,strings of beads
batch of doughnuts,batches of doughnuts
block of cheese,blocks of cheese
slice of turkey,slices of turkey
jar of jam,jars of jam
piece of news,pieces of news
stack of firewood,stacks of firewood
bunch of keys,bunches of keys
handful of nuts,handfuls of nuts
gallon of paint,gallons of paint
carton of milk,cartons of milk
box of crayons,boxes of crayons
pair of earrings,pairs of earrings
bag of rice,bags of rice
loaf of meat,loaves of meat
piece of furniture,pieces of furniture
slice of cucumber,slices of cucumber
bar of iron,bars of iron
bottle of soda,bottles of soda
pint of ice cream,pints of ice cream
dozen donuts,dozens of donuts
string of sausages,strings of sausages
cup of yogurt,cups of yogurt
sheet of glass,sheets of glass
ray of hope,rays of hope
block of flats,blocks of flats
handful of grapes,handfuls of grapes
stack of pancakes,stacks of pancakes
bunch of cherries,bunches of cherries
piece of art,pieces of art
slice of meat,slices of meat
roll of paper towels,rolls of paper towels
batch of brownies,batches of brownies
slice of pepperoni,slices of pepperoni
box of tissues,boxes of tissues
jar of pickles,jars of pickles
carton of juice,cartons of juice
string of pearls,strings of pearls
bar of soap,bars of soap
dozen cupcakes,dozens of cupcakes
piece of glass,pieces of glass
handful of screws,handfuls of screws
stack of chairs,stacks of chairs
cup of sugar,cups of sugar
block of marble,blocks of marble
piece of clay,pieces of clay
roll of toilet paper,rolls of toilet paper
slice of apple,slices of apple
bottle of vinegar,bottles of vinegar
batch of cupcakes,batches of cupcakes
bundle of wheat,bundles of wheat
pair of glasses,pairs of glasses
spoonful of honey,spoonfuls of honey
handful of pencils,handfuls of pencils
cup of flour,cups of flour
bar of silver,bars of silver
piece of driftwood,pieces of driftwood
bottle of perfume,bottles of perfume
roll of parchment,rolls of parchment
block of wood,blocks of wood
string of ribbons,strings of ribbons
bundle of letters,bundles of letters
slice of pizza,slices of pizza
box of matches,boxes of matches
jar of olives,jars of olives
carton of cream,cartons of cream
bar of chocolate,bars of chocolate
piece of metal,pieces of metal
roll of carpet,rolls of carpet
stack of plates,stacks of plates
handful of seeds,handfuls of seeds
cup of rice,cups of rice
sheet of steel,sheets of steel
loaf of sugar,loaves of sugar
block of granite,blocks of granite
batch of biscuits,batches of biscuits
bundle of rope,bundles of rope
string of lights,strings of lights
spoonful of milk,spoonfuls of milk
pile of coins,piles of coins
bottle of beer,bottles of beer
jar of spices,jars of spices
carton of eggs,cartons of eggs
slice of butter,slices of butter
piece of fabric,pieces of fabric
roll of wallpaper,rolls of wallpaper
box of cereal,boxes of cereal
bundle of twigs,bundles of twigs
batch of pancakes,batches of pancakes
slice of ham,slices of ham
handful of marbles,handfuls of marbles
stack of boxes,stacks of boxes
bar of steel,bars of steel
block of ice,blocks of ice
piece of parchment,pieces of parchment
roll of gauze,rolls of gauze
slice of bacon,slices of bacon
bottle of lotion,bottles of lotion
heap of mismatched socks,heaps of mismatched socks
cluster of runaway balloons,clusters of runaway balloons
platoon of rubber ducks,platoons of rubber ducks
fleet of paper boats,fleets of paper boats
tangle of spaghetti noodles,tangles of spaghetti noodles
parade of garden gnomes,parades of garden gnomes
troop of juggling squirrels,troops of juggling squirrels
pile of tangled shoelaces,piles of tangled shoelaces
basket of unpaired mittens,baskets of unpaired mittens
swarm of bubble wrap,swarms of bubble wrap
mountain of unread emails,mountains of unread emails
tower of pizza boxes,towers of pizza boxes
gaggle of rubber chickens,gaggles of rubber chickens
array of novelty hats,arrays of novelty hats
bundle of tangled earphones,bundles of tangled earphones
army of toy soldiers,armies of toy soldiers
collection of expired coupons,collections of expired coupons
shoal of bathtub toys,shoals of bathtub toys
quiver of mismatched arrows,quivers of mismatched arrows
pyramid of marshmallow peeps,pyramids of marshmallow peeps
stack of inflatable flamingos,stacks of inflatable flamingos
bucket of rainbow sprinkles,buckets of rainbow sprinkles
herd of plastic dinosaurs,herds of plastic dinosaurs
batch of overly complex board games,batches of overly complex board games
cloud of soap bubbles,clouds of soap bubbles
deck of blank playing cards,decks of blank playing cards
crate of rubber bands,crates of rubber bands
cluster of forgotten umbrellas,clusters of forgotten umbrellas
batch of burnt toast,batches of burnt toast
flood of novelty postcards,floods of novelty postcards
heap of deflated beach balls,heaps of deflated beach balls
brace of kazoo players,braces of kazoo players
parade of sock puppets,parades of sock puppets
stash of glittery stickers,stashes of glittery stickers
bin of rubber stamps,bins of rubber stamps
set of mismatched buttons,sets of mismatched buttons
assemblage of wind-up toys,assemblages of wind-up toys
stack of novelty coasters,stacks of novelty coasters
gaggle of finger puppets,gaggles of finger puppets
bag of marbles with missing colors,bags of marbles with missing colors
string of solar-powered fairy lights,strings of solar-powered fairy lights
pile of mismatched puzzle pieces,piles of mismatched puzzle pieces
box of broken crayons,boxes of broken crayons
platoon of plastic flamingos,platoons of plastic flamingos
batch of misshapen cookies,batches of misshapen cookies
bunch of artificial flowers,bunches of artificial flowers
collection of miniature spoons,collections of miniature spoons
troop of dancing hamsters,troops of dancing hamsters
crate of oversized sunglasses,crates of oversized sunglasses
wave of inflatable pool toys,waves of inflatable pool toys
stack of comic books with missing pages,stacks of comic books with missing pages
bundle of tangled Christmas lights,bundles of tangled Christmas lights
shoal of plastic fish,shoals of plastic fish
line of mismatched sock pairs,lines of mismatched sock pairs
batch of broken clocks,batches of broken clocks
flood of novelty keychains,floods of novelty keychains
heap of crumpled gift wrap,heaps of crumpled gift wrap
pile of empty coffee cups,piles of empty coffee cups
bucket of glow sticks,buckets of glow sticks
troop of wind-up penguins,troops of wind-up penguins
platoon of foam fingers,platoons of foam fingers
tower of precariously stacked pancakes,towers of precariously stacked pancakes
basket of mismatched playing cards,baskets of mismatched playing cards
herd of plush unicorns,herds of plush unicorns
array of novelty alarm clocks,arrays of novelty alarm clocks
stack of unread comic books,stacks of unread comic books
collection of inflatable animals,collections of inflatable animals
batch of unsorted LEGO bricks,batches of unsorted LEGO bricks
quiver of bent straws,quivers of bent straws
bundle of novelty socks,bundles of novelty socks
troop of clockwork robots,troops of clockwork robots
platoon of squeaky shoes,platoons of squeaky shoes
wave of feather boas,waves of feather boas
crate of ceramic frogs,crates of ceramic frogs
parade of mechanical birds,parades of mechanical birds
tooth in the glass,teeth in the glass
mouse under the couch,mice under the couch
goose by the pond,geese by the pond
leaf on the maple tree,leaves on the maple tree
medium-sized foot in the sand,medium-sized feet in the sand
criterion for success,criteria for success
analysis of the data,analyses of the data
thesis about ancient Rome,theses about ancient Rome
cactus in the desert sun,cacti in the desert sun
phenomenon in the night sky,phenomena in the night sky
chief of the ancient tribe,chiefs of the ancient tribe
wolf in the snowy forest,wolves in the snowy forest
attorney at the prestigious firm,attorneys at the prestigious firm
ox pulling the heavy cart,oxen pulling the heavy cart
echo in the deep cave,echoes in the deep cave
index of prohibited books,indices of prohibited books
salmon swimming upstream,salmon swimming upstream
deer in the misty meadow,deer in the misty meadow
criterion for excellence in teaching,criteria for excellence in teaching
wife of the distinguished professor,wives of the distinguished professor
man-child at the playground,man-children at the playground
mother-in-law from Seattle,mothers-in-law from Seattle
species of rare butterfly,species of rare butterfly
octopus in the coral reef,octopi in the coral reef
millennium of human history,millennia of human history
passerby on the busy street,passersby on the busy street
aircraft in the clear blue sky,aircraft in the clear blue sky
grown-up child of divorce,grown-up children of divorce
memorandum from the board,memoranda from the board
oasis in the vast desert,oases in the vast desert
alumnus of Harvard,alumni of Harvard
stimulus for economic growth,stimuli for economic growth
die on the gaming table,dice on the gaming table
axis of rotation,axes of rotation
fungus in the damp soil,fungi in the damp soil
bacterium under the microscope,bacteria under the microscope
vertebra in the spine,vertebrae in the spine
court-martial in session,courts-martial in session
passer-by on Main Street,passers-by on Main Street
brother-in-law from Michigan,brothers-in-law from Michigan
attorney general of the state,attorneys general of the state
runner-up in the contest,runners-up in the contest
basis for the argument,bases for the argument
crisis in the Middle East,crises in the Middle East
hypothesis of quantum mechanics,hypotheses of quantum mechanics
stratum of ancient civilization,strata of ancient civilization
memorandum from the CEO,memoranda from the CEO
commander in chief of the army,commanders in chief of the army
foot-pound of energy,foot-pounds of energy
woman doctor at the clinic,women doctors at the clinic
child prodigy at the piano,children prodigies at the piano
louse on the specimen,lice on the specimen
dormouse in the hedge,dormice in the hedge
snowman in the yard,snowmen in the yard
policeman on duty,policemen on duty
nucleus of the atom,nuclei of the atom
radius of the circle,radii of the circle
calf in the meadow,calves in the meadow
knife on the table,knives on the table
thief in the night,thieves in the night
shelf in the bookcase,shelves in the bookcase
brass doorknob on the cabinet,brass doorknobs on the cabinet
half-empty glass of milk,half-empty glasses of milk
wooden box beneath the stairs,wooden boxes beneath the stairs
silver knife with pearl handle,silver knives with pearl handles
dusty shelf in the attic,dusty shelves in the attic
copper penny from 1982,copper pennies from 1982
leaf from the oak tree,leaves from the oak tree
mouse trap behind the refrigerator,mouse traps behind the refrigerator
ivory chess piece on the board,ivory chess pieces on the board
loaf of sourdough bread,loaves of sourdough bread
scarlet berry on the bush,scarlet berries on the bush
chinese food container,chinese food containers
handmade scarf with gold thread,handmade scarves with gold thread
wolf cub in the den,wolf cubs in the den
porcelain dish with blue trim,porcelain dishes with blue trim
mouse pad with wrist support,mouse pads with wrist support
goose egg in the nest,goose eggs in the nest
antique watch with leather band,antique watches with leather bands
rusty nail in the floorboard,rusty nails in the floorboards
brass hoof on the rocking horse,brass hooves on the rocking horse
tooth in the jewelry box,teeth in the jewelry box
silk handkerchief with lace edge,silk handkerchiefs with lace edges
leather-bound book on history,leather-bound books on history
cast-iron pot on the stove,cast-iron pots on the stove
half-burned candle on the shelf,half-burned candles on the shelf
wooden foot of the bed,wooden feet of the bed
glass eye of the porcelain doll,glass eyes of the porcelain doll
ruby ring in the velvet box,ruby rings in the velvet boxes
ceramic mug with broken handle,ceramic mugs with broken handles
brass thimble in the sewing kit,brass thimbles in the sewing kits
voodoo doll with missing pin,voodoo dolls with missing pins
octopus-shaped stress toy,octopus-shaped stress toys
half-melted crayon in the sun,half-melted crayons in the sun
crumpled receipt from Mars,crumpled receipts from Mars
origami wolf with gold trim,origami wolves with gold trim
thimble full of glitter,thimbles full of glitter
pickled toe in the jar,pickled toes in the jars
