directive,input_text,output_text
pluralize,pair of wool socks,pairs of wool socks
pluralize,tray of assorted pastries,trays of assorted pastries
pluralize,crate of ripe mangoes,crates of ripe mangoes
pluralize,pile of rusty tools,piles of rusty tools
pluralize,stack of dusty books,stacks of dusty books
pluralize,string of holiday lights,strings of holiday lights
pluralize,plate of spaghetti with meatballs,plates of spaghetti with meatballs
pluralize,blade of a knife,blades of a knife
pluralize,pint of ice cream,pints of ice cream
pluralize,roll of paper towels,rolls of paper towels
pluralize,roll of toilet paper,rolls of toilet paper
pluralize,heap of mismatched socks,heaps of mismatched socks
pluralize,cluster of runaway balloons,clusters of runaway balloons
pluralize,platoon of rubber ducks,platoons of rubber ducks
pluralize,fleet of paper boats,fleets of paper boats
pluralize,tangle of spaghetti noodles,tangles of spaghetti noodles
pluralize,parade of garden gnomes,parades of garden gnomes
pluralize,troop of juggling squirrels,troops of juggling squirrels
pluralize,pile of tangled shoelaces,piles of tangled shoelaces
pluralize,basket of unpaired mittens,baskets of unpaired mittens
pluralize,swarm of bubble wrap,swarms of bubble wrap
pluralize,mountain of unread emails,mountains of unread emails
pluralize,tower of pizza boxes,towers of pizza boxes
pluralize,gaggle of rubber chickens,gaggles of rubber chickens
pluralize,reminder,reminders
singularize,skies,sky
pluralize,sky,skies
singularize,heroes,hero
pluralize,hero,heroes
singularize,heroines,heroine
pluralize,heroine,heroines
singularize,doghouses,doghouse
pluralize,doghouse,doghouses
singularize,car keys,car key
pluralize,car key,car keys
singularize,rings,ring
pluralize,ring,rings
singularize,parties,party
pluralize,party,parties
singularize,cities,city
pluralize,city,cities
singularize,zeroes,zero
pluralize,zero,zeroes
pluralize,array of novelty hats,arrays of novelty hats
pluralize,bundle of tangled earphones,bundles of tangled earphones
pluralize,army of toy soldiers,armies of toy soldiers
pluralize,collection of expired coupons,collections of expired coupons
pluralize,shoal of bathtub toys,shoals of bathtub toys
pluralize,quiver of mismatched arrows,quivers of mismatched arrows
pluralize,pyramid of marshmallow peeps,pyramids of marshmallow peeps
pluralize,stack of inflatable flamingos,stacks of inflatable flamingos
pluralize,bucket of rainbow sprinkles,buckets of rainbow sprinkles
pluralize,herd of plastic dinosaurs,herds of plastic dinosaurs
pluralize,batch of overly complex board games,batches of overly complex board games
pluralize,cloud of soap bubbles,clouds of soap bubbles
pluralize,deck of blank playing cards,decks of blank playing cards
pluralize,crate of rubber bands,crates of rubber bands
pluralize,cluster of forgotten umbrellas,clusters of forgotten umbrellas
pluralize,batch of burnt toast,batches of burnt toast
pluralize,flood of novelty postcards,floods of novelty postcards
pluralize,heap of deflated beach balls,heaps of deflated beach balls
pluralize,brace of kazoo players,braces of kazoo players
pluralize,parade of sock puppets,parades of sock puppets
pluralize,stash of glittery stickers,stashes of glittery stickers
pluralize,bin of rubber stamps,bins of rubber stamps
pluralize,set of mismatched buttons,sets of mismatched buttons
pluralize,assemblage of wind-up toys,assemblages of wind-up toys
pluralize,stack of novelty coasters,stacks of novelty coasters
pluralize,gaggle of finger puppets,gaggles of finger puppets
pluralize,bag of marbles with missing colors,bags of marbles with missing colors
pluralize,string of solar-powered fairy lights,strings of solar-powered fairy lights
pluralize,pile of mismatched puzzle pieces,piles of mismatched puzzle pieces
pluralize,box of broken crayons,boxes of broken crayons
pluralize,platoon of plastic flamingos,platoons of plastic flamingos
pluralize,batch of misshapen cookies,batches of misshapen cookies
pluralize,bunch of artificial flowers,bunches of artificial flowers
pluralize,collection of miniature spoons,collections of miniature spoons
pluralize,troop of dancing hamsters,troops of dancing hamsters
pluralize,crate of oversized sunglasses,crates of oversized sunglasses
pluralize,wave of inflatable pool toys,waves of inflatable pool toys
pluralize,stack of comic books with missing pages,stacks of comic books with missing pages
pluralize,bundle of tangled Christmas lights,bundles of tangled Christmas lights
pluralize,shoal of plastic fish,shoals of plastic fish
pluralize,line of mismatched sock pairs,lines of mismatched sock pairs
pluralize,batch of broken clocks,batches of broken clocks
pluralize,flood of novelty keychains,floods of novelty keychains
pluralize,heap of crumpled gift wrap,heaps of crumpled gift wrap
pluralize,pile of empty coffee cups,piles of empty coffee cups
pluralize,bucket of glow sticks,buckets of glow sticks
pluralize,troop of wind-up penguins,troops of wind-up penguins
pluralize,platoon of foam fingers,platoons of foam fingers
pluralize,tower of precariously stacked pancakes,towers of precariously stacked pancakes
pluralize,basket of mismatched playing cards,baskets of mismatched playing cards
pluralize,herd of plush unicorns,herds of plush unicorns
pluralize,array of novelty alarm clocks,arrays of novelty alarm clocks
pluralize,stack of unread comic books,stacks of unread comic books
pluralize,collection of inflatable animals,collections of inflatable animals
pluralize,batch of unsorted LEGO bricks,batches of unsorted LEGO bricks
pluralize,quiver of bent straws,quivers of bent straws
pluralize,bundle of novelty socks,bundles of novelty socks
pluralize,troop of clockwork robots,troops of clockwork robots
pluralize,platoon of squeaky shoes,platoons of squeaky shoes
pluralize,wave of feather boas,waves of feather boas
pluralize,crate of ceramic frogs,crates of ceramic frogs
pluralize,parade of mechanical birds,parades of mechanical birds
pluralize,tooth in the glass,teeth in the glass
pluralize,mouse under the couch,mice under the couch
pluralize,goose by the pond,geese by the pond
pluralize,leaf on the maple tree,leaves on the maple tree
pluralize,medium-sized foot in the sand,medium-sized feet in the sand
pluralize,analysis of the data,analyses of the data
pluralize,thesis about ancient Rome,theses about ancient Rome
pluralize,cactus in the desert sun,cacti in the desert sun
pluralize,phenomenon in the night sky,phenomena in the night sky
pluralize,chief of the ancient tribe,chiefs of the ancient tribe
pluralize,wolf in the snowy forest,wolves in the snowy forest
pluralize,attorney at the prestigious firm,attorneys at the prestigious firm
pluralize,ox pulling the heavy cart,oxen pulling the heavy cart
pluralize,echo in the deep cave,echoes in the deep cave
pluralize,index of prohibited books,indices of prohibited books
pluralize,deer in the misty meadow,deer in the misty meadow
pluralize,criterion for excellence in teaching,criteria for excellence in teaching
pluralize,wife of the distinguished professor,wives of the distinguished professor
pluralize,man-child at the playground,man-children at the playground
pluralize,species of rare butterfly,species of rare butterfly
pluralize,octopus in the coral reef,octopi in the coral reef
pluralize,millennium of human history,millennia of human history
pluralize,passerby on the busy street,passersby on the busy street
pluralize,aircraft in the clear blue sky,aircraft in the clear blue sky
pluralize,grown-up child of divorce,grown-up children of divorce
pluralize,memorandum from the board,memoranda from the board
pluralize,oasis in the vast desert,oases in the vast desert
pluralize,stimulus for economic growth,stimuli for economic growth
pluralize,die on the gaming table,dice on the gaming table
pluralize,fungus in the damp soil,fungi in the damp soil
pluralize,bacterium under the microscope,bacteria under the microscope
pluralize,vertebra in the spine,vertebrae in the spine
pluralize,passer-by on Main Street,passers-by on Main Street
pluralize,attorney general of the state,attorneys general of the state
pluralize,runner-up in the contest,runners-up in the contest
pluralize,basis for the argument,bases for the argument
pluralize,crisis in the Middle East,crises in the Middle East
pluralize,hypothesis of quantum mechanics,hypotheses of quantum mechanics
pluralize,stratum of ancient civilization,strata of ancient civilization
pluralize,memorandum from the CEO,memoranda from the CEO
pluralize,commander in chief of the army,commanders in chief of the army
pluralize,woman doctor at the clinic,women doctors at the clinic
pluralize,child prodigy at the piano,children prodigies at the piano
pluralize,louse on the specimen,lice on the specimen
pluralize,dormouse in the hedge,dormice in the hedge
pluralize,snowman in the yard,snowmen in the yard
pluralize,nucleus of the atom,nuclei of the atom
pluralize,radius of the circle,radii of the circle
pluralize,calf in the meadow,calves in the meadow
pluralize,knife on the table,knives on the table
pluralize,thief in the night,thieves in the night
pluralize,shelf in the bookcase,shelves in the bookcase
pluralize,brass doorknob on the cabinet,brass doorknobs on the cabinet
pluralize,half-empty glass of milk,half-empty glasses of milk
pluralize,wooden box beneath the stairs,wooden boxes beneath the stairs
pluralize,silver knife with pearl handle,silver knives with pearl handles
pluralize,dusty shelf in the attic,dusty shelves in the attic
pluralize,copper penny from 1982,copper pennies from 1982
pluralize,leaf from the oak tree,leaves from the oak tree
pluralize,mouse trap behind the refrigerator,mouse traps behind the refrigerator
pluralize,ivory chess piece on the board,ivory chess pieces on the board
pluralize,loaf of sourdough bread,loaves of sourdough bread
pluralize,scarlet berry on the bush,scarlet berries on the bush
pluralize,handmade scarf with gold thread,handmade scarves with gold thread
pluralize,wolf cub in the den,wolf cubs in the den
pluralize,porcelain dish with blue trim,porcelain dishes with blue trim
pluralize,mouse pad with wrist support,mouse pads with wrist support
pluralize,goose egg in the nest,goose eggs in the nest
pluralize,antique watch with leather band,antique watches with leather bands
pluralize,rusty nail in the floorboard,rusty nails in the floorboards
pluralize,brass hoof on the rocking horse,brass hooves on the rocking horse
pluralize,tooth in the jewelry box,teeth in the jewelry box
pluralize,silk handkerchief with lace edge,silk handkerchiefs with lace edges
pluralize,leather-bound book on history,leather-bound books on history
pluralize,cast-iron pot on the stove,cast-iron pots on the stove
pluralize,half-burned candle on the shelf,half-burned candles on the shelf
pluralize,wooden foot of the bed,wooden feet of the bed
pluralize,glass eye of the porcelain doll,glass eyes of the porcelain doll
pluralize,ruby ring in the velvet box,ruby rings in the velvet boxes
pluralize,ceramic mug with broken handle,ceramic mugs with broken handles
pluralize,brass thimble in the sewing kit,brass thimbles in the sewing kits
pluralize,voodoo doll with missing pin,voodoo dolls with missing pins
pluralize,half-melted crayon in the sun,half-melted crayons in the sun
pluralize,crumpled receipt from Mars,crumpled receipts from Mars
pluralize,origami wolf with gold trim,origami wolves with gold trim
pluralize,thimble full of glitter,thimbles full of glitter
pluralize,pickled toe in the jar,pickled toes in the jars
pluralize,plastic tooth with candy inside,plastic teeth with candy inside
pluralize,crystal ball filled with smoke,crystal balls filled with smoke
pluralize,haunted locket with scratch marks,haunted lockets with scratch marks
pluralize,petrified mouse in amber,petrified mice in amber
pluralize,glass eye from the pirate,glass eyes from the pirate
pluralize,shrunken head on a keychain,shrunken heads on keychains
pluralize,fairy wing in resin,fairy wings in resin
pluralize,cursed penny from 1923,cursed pennies from 1923
pluralize,rubber foot with six toes,rubber feet with six toes
pluralize,mummified hamster in wrapping,mummified hamsters in wrapping
pluralize,bronze tooth from the dragon,bronze teeth from the dragon
pluralize,snow globe with black snow,snow globes with black snow
pluralize,bottled butterfly with ruby wings,bottled butterflies with ruby wings
pluralize,zombie finger in formaldehyde,zombie fingers in formaldehyde
pluralize,enchanted leaf made of copper,enchanted leaves made of copper
pluralize,chocolate brain with caramel,chocolate brains with caramel
pluralize,fossilized egg of mystery,fossilized eggs of mystery
pluralize,porcelain hand holding dice,porcelain hands holding dice
pluralize,scorpion in lime jello,scorpions in lime jello
pluralize,knife made of frozen blood,knives made of frozen blood
pluralize,tiny man in the bottle,tiny men in the bottles
pluralize,clockwork mouse with ruby eyes,clockwork mice with ruby eyes
pluralize,witch's tooth in a locket,witch's teeth in a locket
pluralize,ruby eye from the gargoyle,ruby eyes from the gargoyle
pluralize,silver tooth from the vampire,silver teeth from the vampire
pluralize,cursed feather from the phoenix,cursed feathers from the phoenix
pluralize,brass button from the sailor,brass buttons from the sailor
pluralize,pickled brain from the zombie,pickled brains from the zombie
pluralize,golden scale from the dragon,golden scales from the dragon
pluralize,crystal tear from the mermaid,crystal tears from the mermaid
pluralize,poisoned berry from the bush,poisoned berries from the bush
pluralize,mechanical cog from the robot,mechanical cogs from the robot
pluralize,dried flower from the witch,dried flowers from the witch
pluralize,glowing marble from the wizard,glowing marbles from the wizard
pluralize,magic bean from the giant,magic beans from the giant
pluralize,frozen finger from the snowman,frozen fingers from the snowman
pluralize,porcelain shard from the doll,porcelain shards from the doll
pluralize,ancient coin from the chest,ancient coins from the chest
pluralize,bloody fang from the werewolf,bloody fangs from the werewolf
pluralize,paper crane from the origami master,paper cranes from the origami master
pluralize,clockwork beetle from the watchmaker,clockwork beetles from the watchmaker
pluralize,chocolate rose from the baker,chocolate roses from the baker
pluralize,painted shell from the hermit,painted shells from the hermit
pluralize,crystal bone from the skeleton,crystal bones from the skeleton
pluralize,silk ribbon from the dancer,silk ribbons from the dancer
pluralize,wax seal from the letter,wax seals from the letter
pluralize,brass key from the locksmith,brass keys from the locksmith
pluralize,glass heart from the puppet,glass hearts from the puppet
pluralize,rust-covered knife from the chef,rust-covered knives from the chef
pluralize,half-melted crystal from the meteor,half-melted crystals from the meteor
pluralize,blood-stained tooth from the beast,blood-stained teeth from the beast
pluralize,neon-painted skull from the collector,neon-painted skulls from the collector
pluralize,diamond-studded eye from the idol,diamond-studded eyes from the idol
pluralize,moss-covered key from the chest,moss-covered keys from the chest
pluralize,acid-etched coin from the wreck,acid-etched coins from the wreck
pluralize,frost-bitten finger from the explorer,frost-bitten fingers from the explorer
pluralize,honey-preserved butterfly in amber,honey-preserved butterflies in amber
pluralize,chrome-plated tooth from the robot,chrome-plated teeth from the robot
pluralize,ink-stained page from the grimoire,ink-stained pages from the grimoire
pluralize,web-covered doll in the attic,web-covered dolls in the attic
pluralize,salt-encrusted compass from the sea,salt-encrusted compasses from the sea
pluralize,radiation-scorched badge from the lab,radiation-scorched badges from the lab
pluralize,mold-spotted berry from the vine,mold-spotted berries from the vine
pluralize,ash-dusted mask from the tomb,ash-dusted masks from the tomb
pluralize,silver-tipped arrow from the hunter,silver-tipped arrows from the hunter
pluralize,oil-slicked feather from the phoenix,oil-slicked feathers from the phoenix
pluralize,poison-dipped needle from the spinner,poison-dipped needles from the spinner
pluralize,storm-charged crystal from the peak,storm-charged crystals from the peak
pluralize,dust-covered brain in the jar,dust-covered brains in the jar
pluralize,acid-warped penny from the sewer,acid-warped pennies from the sewer
pluralize,sun-bleached bone from the desert,sun-bleached bones from the desert
pluralize,curse-marked ring from the priest,curse-marked rings from the priest
pluralize,rust-frozen gear from the machine,rust-frozen gears from the machine
pluralize,charred doll beneath the floorboards,charred dolls beneath the floorboards
pluralize,brass key wrapped in silk,brass keys wrapped in silk
pluralize,severed hand still wearing its ring,severed hands still wearing their rings
pluralize,crystal eye that glows at midnight,crystal eyes that glow at midnight
pluralize,poisoned apple floating in brine,poisoned apples floating in brine
pluralize,broken tooth wrapped in gold wire,broken teeth wrapped in gold wire
pluralize,frozen rose dripping with mercury,frozen roses dripping with mercury
pluralize,porcelain finger pointed at the moon,porcelain fingers pointed at the moon
pluralize,glass butterfly trapped in ice,glass butterflies trapped in ice
pluralize,rusted coin sealed with wax,rusted coins sealed with wax
pluralize,mechanical spider wrapped in velvet,mechanical spiders wrapped in velvet
pluralize,wooden doll with a missing eye,wooden dolls with missing eyes
pluralize,silver key melted by acid,silver keys melted by acid
pluralize,shrunken head wearing a crown,shrunken heads wearing crowns
pluralize,clockwork heart bound in copper,clockwork hearts bound in copper
pluralize,mummified rat dressed in silk,mummified rats dressed in silk
pluralize,jade scarab covered in hieroglyphs,jade scarabs covered in hieroglyphs
pluralize,crystal skull filled with smoke,crystal skulls filled with smoke
pluralize,brass beetle dipped in poison,brass beetles dipped in poison
pluralize,paper crane soaked in blood,paper cranes soaked in blood
pluralize,frozen tear carved from sapphire,frozen tears carved from sapphire
pluralize,ceramic hand holding a flame,ceramic hands holding flames
pluralize,stone egg wrapped in chains,stone eggs wrapped in chains
pluralize,golden tooth marked with symbols,golden teeth marked with symbols
pluralize,glass heart full of ashes,glass hearts full of ashes
pluralize,bottled eye swimming in honey,bottled eyes swimming in honey
pluralize,obsidian knife etched with runes,obsidian knives etched with runes
pluralize,copper bird filled with sand,copper birds filled with sand
pluralize,jeweled beetle wrapped in thread,jeweled beetles wrapped in thread
pluralize,glass hand clenched in fury,glass hands clenched in fury
pluralize,ivory comb stained with blood,ivory combs stained with blood
pluralize,steel rose dusted with rust,steel roses dusted with rust
pluralize,ceramic crow painted with gold,ceramic crows painted with gold
pluralize,frozen tear caught in amber,frozen tears caught in amber
pluralize,twisted key bound in leather,twisted keys bound in leather
pluralize,silver tooth streaming with light,silver teeth streaming with light
pluralize,crystal dove drowned in oil,crystal doves drowned in oil
pluralize,brass spider weaving silver,brass spiders weaving silver
pluralize,wooden eye leaking mercury,wooden eyes leaking mercury
pluralize,stone heart wrapped in vines,stone hearts wrapped in vines
pluralize,paper doll soaked in tears,paper dolls soaked in tears
pluralize,iron feather dipped in glass,iron feathers dipped in glass
pluralize,porcelain moth dusted with ash,porcelain moths dusted with ash
pluralize,golden snail trailing slime,golden snails trailing slime
pluralize,tin soldier melted by time,tin soldiers melted by time
pluralize,jade leaf carved with faces,jade leaves carved with faces
pluralize,bronze tear frozen in time,bronze tears frozen in time
pluralize,glass scorpion filled with mist,glass scorpions filled with mist
pluralize,crystal tooth bound in wire,crystal teeth bound in wire
pluralize,copper skull leaking dreams,copper skulls leaking dreams
pluralize,painted bone dripping with dew,painted bones dripping with dew
pluralize,mercury bead trapped in quartz,mercury beads trapped in quartz
pluralize,cursed ring bound in thorns,cursed rings bound in thorns
pluralize,glass wasp filled with storm,glass wasps filled with storm
pluralize,porcelain finger pointing north,porcelain fingers pointing north
pluralize,rusted bell full of teeth,rusted bells full of teeth
pluralize,jade owl sealed with lead,jade owls sealed with lead
pluralize,brass eye leaking starlight,brass eyes leaking starlight
pluralize,frozen moth caught in crystal,frozen moths caught in crystal
pluralize,silver thorn piercing velvet,silver thorns piercing velvet
pluralize,ceramic heart pumping sand,ceramic hearts pumping sand
pluralize,stone doll carved with sigils,stone dolls carved with sigils
pluralize,iron tear stained with gold,iron tears stained with gold
pluralize,crystal rope braided with hair,crystal ropes braided with hair
pluralize,wooden key wrapped in silk,wooden keys wrapped in silk
pluralize,copper rose bleeding rust,copper roses bleeding rust
pluralize,obsidian bird filled with smoke,obsidian birds filled with smoke
pluralize,tin butterfly sealed in ice,tin butterflies sealed in ice
pluralize,bronze feather burning cold,bronze feathers burning cold
pluralize,pearl eye rolling in moss,pearl eyes rolling in moss
pluralize,glass hand grasping shadows,glass hands grasping shadows
pluralize,steel leaf cutting light,steel leaves cutting light
pluralize,mercury skull dripping silver,mercury skulls dripping silver
pluralize,ivory snake coiled in glass,ivory snakes coiled in glass
pluralize,ceramic star falling dark,ceramic stars falling dark
pluralize,golden web catching dreams,golden webs catching dreams
pluralize,diamond tooth cracked with frost,diamond teeth cracked with frost
pluralize,pewter ghost trapped in amber,pewter ghosts trapped in amber
pluralize,brass needle threading void,brass needles threading void
pluralize,silver egg warming night,silver eggs warming night
pluralize,ruby claw scratching time,ruby claws scratching time
pluralize,iron mask leaking wishes,iron masks leaking wishes
pluralize,crystal book burning blue,crystal books burning blue
pluralize,emerald fish swimming air,emerald fish swimming air
pluralize,bronze shell echoing void,bronze shells echoing void
pluralize,marble hand holding fog,marble hands holding fog
pluralize,opal eye reflecting doom,opal eyes reflecting doom
pluralize,steel heart ticking rust,steel hearts ticking rust
pluralize,granite wing carved with dreams,granite wings carved with dreams
pluralize,copper chain binding smoke,copper chains binding smoke
pluralize,obsidian door leading nowhere,obsidian doors leading nowhere
pluralize,jade key unlocking shadow,jade keys unlocking shadow
pluralize,silver bell tolling silence,silver bells tolling silence
pluralize,crystal dice rolling fate,crystal dice rolling fate
pluralize,brass compass pointing void,brass compasses pointing void
pluralize,iron crown bleeding rust,iron crowns bleeding rust
pluralize,glass sword cutting wind,glass swords cutting wind
pluralize,stone finger pointing home,stone fingers pointing home
pluralize,wooden heart burning cold,wooden hearts burning cold
pluralize,platinum egg holding dawn,platinum eggs holding dawn
pluralize,mercury drop catching light,mercury drops catching light
pluralize,tin star reflecting void,tin stars reflecting void
pluralize,ghostly mouse whispering lies,ghostly mice whispering lies
pluralize,frost-bitten leaf trapped in glass,frost-bitten leaves trapped in glass
pluralize,burning tooth marked by time,burning teeth marked by time
pluralize,midnight wolf carved from ice,midnight wolves carved from ice
pluralize,crimson foot cast in brass,crimson feet cast in brass
pluralize,shattered thief in amber,shattered thieves in amber
pluralize,cursed goose bound in chains,cursed geese bound in chains
pluralize,ancient louse sealed in gold,ancient lice sealed in gold
pluralize,copper child holding stars,copper children holding stars
pluralize,crystal knife eating light,crystal knives eating light
pluralize,obsidian fish drinking shade,obsidian fish drinking shade
pluralize,broken criterion etched in stone,broken criteria etched in stone
pluralize,porcelain ox wearing crowns,porcelain oxen wearing crowns
pluralize,glass cactus bleeding sand,glass cacti bleeding sand
pluralize,frozen phenomenon beneath ice,frozen phenomena beneath ice
pluralize,brass fungus growing dark,brass fungi growing dark
pluralize,silver sphinx telling lies,silver sphinxes telling lies
pluralize,ruby focus bending light,ruby foci bending light
pluralize,iron nemesis wearing silk,iron nemeses wearing silk
pluralize,crystal stimulus wrapped in dark,crystal stimuli wrapped in dark
pluralize,copper matrix glowing blue,copper matrices glowing blue
pluralize,glass stratum holding time,glass strata holding time
pluralize,golden octopus weaving fate,golden octopi weaving fate
pluralize,obsidian radius cutting night,obsidian radii cutting night
pluralize,emerald vertebra singing doom,emerald vertebrae singing doom
pluralize,silver automaton drinking dreams,silver automata drinking dreams
pluralize,brass nucleus splitting void,brass nuclei splitting void
pluralize,crystal memorandum sealed in ice,crystal memoranda sealed in ice
pluralize,jade hypothesis trapped in glass,jade hypotheses trapped in glass
pluralize,mercury analysis frozen in time,mercury analyses frozen in time
pluralize,platinum oasis burning cold,platinum oases burning cold
pluralize,tin emphasis carved in bone,tin emphases carved in bone
pluralize,copper crisis bleeding rust,copper crises bleeding rust
pluralize,glass ellipsis holding breath,glass ellipses holding breath
pluralize,bronze diagnosis eating light,bronze diagnoses eating light
pluralize,marble axis turning void,marble axes turning void
pluralize,crystal basis cracking dawn,crystal bases cracking dawn
pluralize,iron stigma burning bright,iron stigmata burning bright
pluralize,obsidian medium speaking death,obsidian media speaking death
pluralize,ruby maximum touching void,ruby maxima touching void
pluralize,silver millennium counting stars,silver millennia counting stars
pluralize,leather boot filled with sand,leather boots filled with sand
pluralize,brass tooth from the comb,brass teeth from the comb
pluralize,cracked leaf pressed in wax,cracked leaves pressed in wax
pluralize,painted mouse beneath glass,painted mice beneath glass
pluralize,copper penny sealed in ice,copper pennies sealed in ice
pluralize,broken foot from the doll,broken feet from the doll
pluralize,silver knife with rust spots,silver knives with rust spots
pluralize,wooden goose dipped in paint,wooden geese dipped in paint
pluralize,crystal die showing six,crystal dice showing six
pluralize,porcelain fish in water,porcelain fish in water
pluralize,torn scarf wrapped in paper,torn scarves wrapped in paper
pluralize,brass thimble full of dirt,brass thimbles full of dirt
pluralize,china cup stained with tea,china cups stained with tea
pluralize,painted tooth in the box,painted teeth in the box
pluralize,wooden hoof from the toy,wooden hooves from the toy
pluralize,plastic wolf with spots,plastic wolves with spots
pluralize,tin berry covered in sugar,tin berries covered in sugar
pluralize,ceramic calf with spots,ceramic calves with spots
pluralize,woven scarf with fringe,woven scarves with fringe
pluralize,cloth mouse stuffed with beans,cloth mice stuffed with beans
pluralize,painted shelf in the box,painted shelves in the box
pluralize,metal knife under glass,metal knives under glass
pluralize,paper leaf dipped in wax,paper leaves dipped in wax
pluralize,wooden spoon with cracks,wooden spoons with cracks
pluralize,glass fish in blue water,glass fish in blue water
pluralize,steel hook wrapped in tape,steel hooks wrapped in tape
pluralize,plastic foot from the toy,plastic feet from the toy
pluralize,rubber tooth with spots,rubber teeth with spots
pluralize,cotton glove filled with rice,cotton gloves filled with rice
pluralize,ceramic wolf with patches,ceramic wolves with patches
pluralize,brass key covered in tape,brass keys covered in tape
pluralize,paper box filled with sand,paper boxes filled with sand
pluralize,wooden spoon dipped in paint,wooden spoons dipped in paint
pluralize,plastic mouse covered in dust,plastic mice covered in dust
pluralize,metal foot from the bench,metal feet from the bench
pluralize,glass knife with blue spots,glass knives with blue spots
pluralize,rubber tooth filled with sand,rubber teeth filled with sand
pluralize,copper penny beneath tape,copper pennies beneath tape
pluralize,ceramic wolf in the box,ceramic wolves in the box
pluralize,cotton glove stained with ink,cotton gloves stained with ink
pluralize,painted leaf stuck in glue,painted leaves stuck in glue
pluralize,brass hook wrapped in string,brass hooks wrapped in string
pluralize,paper fish soaked in wax,paper fish soaked in wax
pluralize,plastic hoof from the horse,plastic hooves from the horse
pluralize,wooden die showing three,wooden dice showing three
pluralize,china cup with gold rim,china cups with gold rim
pluralize,leather boot stained with mud,leather boots stained with mud
pluralize,rubber goose in the tub,rubber geese in the tub
pluralize,metal shelf bent with age,metal shelves bent with age
pluralize,glass thimble full of beads,glass thimbles full of beads
pluralize,wooden calf with red spots,wooden calves with red spots
pluralize,cotton scarf with loose threads,cotton scarves with loose threads
pluralize,plastic berry in the bowl,plastic berries in the bowl
pluralize,ceramic foot from the lamp,ceramic feet from the lamp
pluralize,paper wolf cut from cards,paper wolves cut from cards
pluralize,brass tooth from the zipper,brass teeth from the zipper
pluralize,rubber knife for practice,rubber knives for practice
pluralize,wooden fish with blue fins,wooden fish with blue fins
pluralize,metal mouse in the trap,metal mice in the trap
pluralize,glass leaf pressed in books,glass leaves pressed in books
pluralize,leather glove lined with fur,leather gloves lined with fur
